Comp.1,Comp.2,Comp.3,Comp.4
0.30213930485833285,0.07555464278622896,0.14088079124845948,0.27162404832326403
0.30567413957761613,0.14625053915126487,0.21678314116463537,0.20957318939970263
0.29840225419236965,0.1582602618806221,0.1752547550821411,0.24632448104041882
0.07900358430017293,0.0034257942360155086,-0.7843245785903218,-0.07762436294096722
-0.29737317696438226,-0.06934385150028614,0.04412323510171793,0.2079322063857322
0.12257032352268693,-0.05997747082857829,0.4179440141851256,-0.755291548989866
0.31142195158039204,-0.031684021169982514,-0.025812886633799215,-0.004400770021690953
0.31871028919147093,-0.19240758211043732,-0.03852971534209373,-0.03131029678369696
0.27099556082758613,-0.19273757953245033,-0.08534329731287353,-0.07606563522444973
-0.21303544445274844,0.41207622979226677,0.18557500473328584,0.06738049319408662
0.30844752014446036,0.012852102091179547,-0.17560156899123225,-0.27672380138562314
0.07296695999543773,0.5875392949363337,-0.07129094138740072,-0.142200806509363
0.037573589224151376,0.5884331491183546,-0.168190376631978,-0.16254514532347053
0.3226510225368149,-0.00671749555250447,-0.011452692972090034,0.032443428463504564
0.3052430454538322,0.052848070178988876,0.049441465921717775,0.2574890122257313
