ID,Site,Treatment,Position,Year,Comp.1,Comp.2
35,8,Cleared,Bottom,2022,-0.4248400506425104,1.5023629188430312
36,1,Cleared,Upper,2023,1.9559530123247015,-1.3609844705451086
37,1,Cleared,Bottom,2023,1.1706653507871434,-0.9555837983517415
38,2,Cleared,Upper,2023,-1.5618716559723242,-0.5766709925800027
39,2,Cleared,Bottom,2023,1.118792294131721,-1.8865331633163394
40,5,Cleared,Upper,2023,-0.22911007944568224,-1.306813002009529
41,5,Cleared,Bottom,2023,5.665870385092944,-0.6022262201932423
42,6,Cleared,Upper,2023,1.9789624384200892,1.1502459566207393
43,6,Cleared,Bottom,2023,0.13348863332109323,2.617056101533914
44,7,Cleared,Upper,2023,-0.651082979385917,0.24167973332632486
45,7,Cleared,Bottom,2023,-0.45298638469620367,-0.7484760714815178
46,8,Cleared,Upper,2023,-0.7986830818410328,-1.4510749908219576
47,8,Cleared,Bottom,2023,-0.3475832427466525,2.0570651411955794
48,1,Cleared,Upper,2024,-0.3678688644179828,-0.8057677954992662
49,1,Cleared,Bottom,2024,1.4303658279462192,-0.8349717474163646
50,2,Cleared,Upper,2024,3.207536990322044,-2.163831515830223
51,2,Cleared,Bottom,2024,0.13853636807347297,-1.48633204814137
52,5,Cleared,Upper,2024,-0.44054291083461017,-1.3932983219529624
53,5,Cleared,Bottom,2024,2.3436768606040626,-0.5600898328029604
54,6,Cleared,Upper,2024,2.4773189770281085,0.9827239435188262
55,6,Cleared,Bottom,2024,1.513875755557003,2.4447130199994427
56,7,Cleared,Upper,2024,-0.5320150799035014,0.5477095708848453
57,7,Cleared,Bottom,2024,-1.2294301710813669,-0.8061262291316876
58,8,Cleared,Upper,2024,-1.004589602232961,-1.1623444398287865
59,8,Cleared,Bottom,2024,-1.1996429560565072,2.392966870793171
60,1,Cleared + Burned,Upper,2022,-0.6314005390161211,-1.5489671359296138
61,2,Cleared + Burned,Upper,2022,-1.1039070807417992,-1.2707353891527242
62,2,Cleared + Burned,Bottom,2022,1.7196072475302235,-1.434592214206882
63,4,Cleared + Burned,Upper,2022,-1.1844535065142907,-1.157476594087014
64,4,Cleared + Burned,Bottom,2022,0.8462453880618639,-1.2062572160805738
65,5,Cleared + Burned,Upper,2022,-1.8172656942505798,-0.8245509830394395
66,5,Cleared + Burned,Bottom,2022,5.448860874226763,2.939861790778906
67,6,Cleared + Burned,Upper,2022,0.6157723344355657,-1.0488126435350063
68,6,Cleared + Burned,Bottom,2022,-0.2333568207557714,3.1272810234017134
69,7,Cleared + Burned,Upper,2022,-1.3314662896908596,0.9882522771903643
70,7,Cleared + Burned,Bottom,2022,0.4144084904777002,-0.6644017277634208
71,8,Cleared + Burned,Upper,2022,-0.5146932905758483,-1.5868586845921444
72,8,Cleared + Burned,Bottom,2022,-0.3936299974291692,1.9760200558517338
73,1,Cleared + Burned,Upper,2023,-0.4787586441890454,-1.0007330465569384
74,2,Cleared + Burned,Upper,2023,-0.958249580638395,-1.380096486470142
75,2,Cleared + Burned,Bottom,2023,1.2709945694989058,-1.6832413832649848
76,4,Cleared + Burned,Upper,2023,-0.3644292553614151,-0.9942126656237005
77,4,Cleared + Burned,Bottom,2023,1.154643280045292,-1.666071910394942
78,5,Cleared + Burned,Upper,2023,-0.2732852654589474,-1.3377506084314839
79,5,Cleared + Burned,Bottom,2023,2.37505766158429,2.1048345135211117
80,6,Cleared + Burned,Upper,2023,3.1178420570049705,0.1900222833733188
81,6,Cleared + Burned,Bottom,2023,-0.7718522087387684,2.551680818371297
82,7,Cleared + Burned,Upper,2023,0.4558289481215871,-0.07006618400860898
83,7,Cleared + Burned,Bottom,2023,0.37161044036207513,-0.762522019858598
84,8,Cleared + Burned,Upper,2023,-0.04462762441553633,-1.800001186880933
85,8,Cleared + Burned,Bottom,2023,-0.43365354078582846,1.7891748200856712
86,1,Cleared + Burned,Upper,2024,-0.8747878229499123,-1.0317413580376484
87,2,Cleared + Burned,Upper,2024,-1.3583051462355678,-0.8209943087934806
88,2,Cleared + Burned,Bottom,2024,0.8262781580728447,-1.4837566698590035
89,4,Cleared + Burned,Upper,2024,-0.8904995734574556,-1.1237244235182369
90,4,Cleared + Burned,Bottom,2024,0.5131075082540212,-1.5326169565492538
91,5,Cleared + Burned,Upper,2024,-0.2245924909828188,-1.4234887332083543
92,5,Cleared + Burned,Bottom,2024,5.662467598018348,0.13141223787003536
93,6,Cleared + Burned,Upper,2024,0.3459409006673608,-1.075727682272119
94,6,Cleared + Burned,Bottom,2024,1.2361001799400462,3.2536469564035624
95,7,Cleared + Burned,Upper,2024,-0.18316436897823435,2.125602584967454
96,7,Cleared + Burned,Bottom,2024,0.5946821785511281,-1.1998886332204897
97,8,Cleared + Burned,Upper,2024,-0.5071435608146018,-1.1857582531411424
98,8,Cleared + Burned,Bottom,2024,-1.0060683212909587,1.8235618075523181
99,1,Cleared + Scraped,Upper,2022,-1.641969864960849,-0.8408154230467542
100,1,Cleared + Scraped,Bottom,2022,-1.8480367251340435,-0.882028372815542
101,2,Cleared + Scraped,Upper,2022,-1.770264915656994,-1.164563750010575
102,2,Cleared + Scraped,Bottom,2022,0.5339320565130469,-0.010598061678413333
103,5,Cleared + Scraped,Upper,2022,-1.9183921332503482,-0.6650504447159762
104,5,Cleared + Scraped,Bottom,2022,-1.657648975382847,0.02361070916841593
105,6,Cleared + Scraped,Upper,2022,-2.1102691470612696,-0.38814361554297894
106,6,Cleared + Scraped,Bottom,2022,-1.9777307496826806,1.0919797240905407
107,7,Cleared + Scraped,Upper,2022,-1.643672768394518,-1.3982302956469885
108,7,Cleared + Scraped,Bottom,2022,-1.9917864994276773,-0.1863667998401664
109,8,Cleared + Scraped,Upper,2022,-1.8087214389571835,-1.241482924491224
110,8,Cleared + Scraped,Bottom,2022,-1.8230165433032273,1.4123058343339654
111,1,Cleared + Scraped,Upper,2023,-1.3037649458226839,-0.8006196313395656
112,1,Cleared + Scraped,Bottom,2023,-1.7175266589766631,-0.9425554709042765
113,2,Cleared + Scraped,Upper,2023,-1.5759059552586714,-0.8046243236705204
114,2,Cleared + Scraped,Bottom,2023,-0.3447943829791223,0.4043020581086176
115,5,Cleared + Scraped,Upper,2023,-1.8743822875268985,-0.5650756865105345
116,5,Cleared + Scraped,Bottom,2023,-1.2265319742470626,2.1604664798174573
117,6,Cleared + Scraped,Upper,2023,-1.5092894053920696,0.15856432188011493
118,6,Cleared + Scraped,Bottom,2023,-0.865822284473238,2.7971211498398447
119,7,Cleared + Scraped,Upper,2023,-1.760746101213566,-0.5621578867362556
120,7,Cleared + Scraped,Bottom,2023,-1.980162917703221,-0.2306229615512272
121,8,Cleared + Scraped,Upper,2023,-1.4022978658634107,-0.987956941386566
122,8,Cleared + Scraped,Bottom,2023,-1.6039119111976552,2.428717413297643
123,1,Cleared + Scraped,Upper,2024,-1.821757462069488,-0.9120069634025346
124,1,Cleared + Scraped,Bottom,2024,-2.007373877510573,-0.6022050306595355
125,2,Cleared + Scraped,Upper,2024,-2.1856468246107745,-0.4738833892500613
126,2,Cleared + Scraped,Bottom,2024,1.7674795697759478,0.0206368102883339
127,5,Cleared + Scraped,Upper,2024,-2.091567829200726,-0.586842523012843
128,5,Cleared + Scraped,Bottom,2024,-1.3315963687141454,1.693781002529193
129,6,Cleared + Scraped,Upper,2024,-1.956669623698956,-0.08896822129859414
